name,color,abbreviation
KSČM,red,KSČM
Úsvit,#91b82e,Úsvit
ČSSD,orange,ČSSD
KDU-ČSL,yellow,KDU-ČSL
ANO,#5f91b3,ANO
TOP 09,#660066,TOP 09
ODS,blue,ODS
Senátorský klub KDU-ČSL a nezávislí,yellow,KDU-ČSL
Klub Starostové a nezávislí,#660066,STAN
Senátorský klub ANO + Severočeši.cz,#5f91b3,ANO
Senátorský klub Občanské demokratické strany,blue,ODS
Senátorský klub České strany sociálně demokratické,orange,ČSSD
Senátorský klub SPO+KSČM+Severočech,red,SPO+KSČM+S.cz
Nezařazení,gray,Nezařazení
Senátorský klub Zelení - nezávislí,#008000,Zelení
Klub Starostové a Ostravak,#660066,STAN
Klub pro obnovu demokracie - KDU-ČSL a nezávislí,yellow,KOD
Klub TOP 09 a Starostové,#660066,TOP 09
Senátorský klub Křesťanské a demokratické unie - Československé strany lidové,yellow,KDU-ČSL
Klub otevřené demokracie,#008888,KOD
Senátorský klub SNK,#004444,SNK
"Senátorský klub ""Nezávislí""",gray,Nezávislí
"Senátorský klub ""Nezařazení""",gray,Nezařazení
Senátorský klub Unie svobody - Občanské demokratické aliance,#004000,US-ODA
