name,color,abbreviation
Partido Revolucionario Institucional,#CE1126,PRI
Nueva Alianza,#0aa,NA
Partido del Trabajo,darkred,PT
Convergencia,orange,CONV
Alternativa,#abc,ALT
Partido Acción Nacional,#0f52ba,PAN
Partido Verde Ecologista de México,#090,PVEM
Diputados sin partido,gray,IND
Partido de la Revolución Democrática,#fdee00,PRD
Partido Socialdemócrata,red,PSD
PARTIDO REVOLUCIONARIO INSTITUCIONAL,#ce1126,PRI
PARTIDO NUEVA ALIANZA,#0aa,NA
PARTIDO DEL TRABAJO,darkred,PT
MOVIMIENTO CIUDADANO,orange,MC
PARTIDO ACCIÓN NACIONAL,#0f52ba,PAN
PARTIDO VERDE ECOLOGISTA DE MÉXICO,#090,PVEM
DIPUTADOS SIN PARTIDO,gray,IND
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,#fdee00,PRD
Agrupación MORENA,#bf311a,MORENA
